x-axis,1,2,REF1
second,Volt,Volt,Volt
-989.3750E-06,-6.5326632E-03,+63.3165822E-03,+0.0E+00
-989.2500E-06,-6.6582914E-03,+63.3165822E-03,+0.0E+00
-989.1250E-06,-6.4070351E-03,+63.3165822E-03,+0.0E+00
-989.0000E-06,-5.9045225E-03,+63.5678385E-03,+0.0E+00
-988.8750E-06,-6.1557788E-03,+63.4422104E-03,+0.0E+00
-988.7500E-06,-6.1557788E-03,+64.4472355E-03,+0.0E+00
-988.6250E-06,-6.5326632E-03,+62.9396978E-03,+0.0E+00
-988.5000E-06,-5.7788944E-03,+63.5678385E-03,+0.0E+00
-988.3750E-06,-5.6532663E-03,+63.5678385E-03,+0.0E+00
-988.2500E-06,-5.7788944E-03,+63.3165822E-03,+0.0E+00
-988.1250E-06,-5.9045225E-03,+64.1959792E-03,+0.0E+00
-988.0000E-06,-4.7738693E-03,+62.5628134E-03,+0.0E+00
-987.8750E-06,-5.0251256E-03,+63.0653260E-03,+0.0E+00
-987.7500E-06,-5.6532663E-03,+62.6884415E-03,+0.0E+00
-987.6250E-06,-5.5276381E-03,+62.9396978E-03,+0.0E+00
-987.5000E-06,-5.2763819E-03,+64.6984918E-03,+0.0E+00
-987.3750E-06,-5.1507537E-03,+64.3216074E-03,+0.0E+00
-987.2500E-06,-5.1507537E-03,+64.5728636E-03,+0.0E+00
-987.1250E-06,-5.2763819E-03,+62.8140697E-03,+0.0E+00
-987.0000E-06,-6.2814070E-03,+62.6884415E-03,+0.0E+00
-986.8750E-06,-5.1507537E-03,+64.5728636E-03,+0.0E+00
-986.7500E-06,-5.1507537E-03,+64.6984918E-03,+0.0E+00
-986.6250E-06,-4.6482412E-03,+65.8291450E-03,+0.0E+00
-986.5000E-06,-4.6482412E-03,+64.0703511E-03,+0.0E+00
-986.3750E-06,-5.9045225E-03,+63.1909541E-03,+0.0E+00
-986.2500E-06,-5.9045225E-03,+63.6934667E-03,+0.0E+00
-986.1250E-06,-5.1507537E-03,+63.4422104E-03,+0.0E+00
-986.0000E-06,-4.6482412E-03,+64.0703511E-03,+0.0E+00
-985.8750E-06,-4.3969849E-03,+64.5728636E-03,+0.0E+00
-985.7500E-06,-4.5226130E-03,+64.5728636E-03,+0.0E+00
-985.6250E-06,-5.5276381E-03,+63.8190948E-03,+0.0E+00
-985.5000E-06,-5.2763819E-03,+62.4371853E-03,+0.0E+00
-985.3750E-06,-4.3969849E-03,+63.1909541E-03,+0.0E+00
-985.2500E-06,-4.1457286E-03,+64.3216074E-03,+0.0E+00
-985.1250E-06,-3.7688442E-03,+64.3216074E-03,+0.0E+00
-985.0000E-06,-3.2663316E-03,+65.0753762E-03,+0.0E+00
-984.8750E-06,-3.7688442E-03,+64.0703511E-03,+0.0E+00
-984.7500E-06,-3.7688442E-03,+62.5628134E-03,+0.0E+00
-984.6250E-06,-3.3919598E-03,+63.6934667E-03,+0.0E+00
-984.5000E-06,-3.1407035E-03,+64.0703511E-03,+0.0E+00
-984.3750E-06,-2.7638191E-03,+63.6934667E-03,+0.0E+00
-984.2500E-06,-2.2613065E-03,+64.5728636E-03,+0.0E+00
-984.1250E-06,-3.2663316E-03,+64.8241199E-03,+0.0E+00
-984.0000E-06,-3.0150753E-03,+63.3165822E-03,+0.0E+00
-983.8750E-06,-2.6381909E-03,+62.6884415E-03,+0.0E+00
-983.7500E-06,-2.2613065E-03,+63.4422104E-03,+0.0E+00
-983.6250E-06,-2.6381909E-03,+64.3216074E-03,+0.0E+00
-983.5000E-06,-2.7638191E-03,+64.0703511E-03,+0.0E+00
-983.3750E-06,-2.8894472E-03,+62.4371853E-03,+0.0E+00
-983.2500E-06,-3.3919598E-03,+61.6834164E-03,+0.0E+00
-983.1250E-06,-3.5175879E-03,+64.0703511E-03,+0.0E+00
-983.0000E-06,-1.7587940E-03,+64.8241199E-03,+0.0E+00
-982.8750E-06,-1.8844221E-03,+65.3266325E-03,+0.0E+00
-982.7500E-06,-2.2613065E-03,+63.4422104E-03,+0.0E+00
-982.6250E-06,-2.6381909E-03,+63.5678385E-03,+0.0E+00
-982.5000E-06,-2.1356784E-03,+63.9447229E-03,+0.0E+00
-982.3750E-06,-2.0100502E-03,+63.0653260E-03,+0.0E+00
-982.2500E-06,-1.2562814E-03,+63.9447229E-03,+0.0E+00
-982.1250E-06,-1.6331658E-03,+64.0703511E-03,+0.0E+00
-982.0000E-06,-1.6331658E-03,+63.9447229E-03,+0.0E+00
-981.8750E-06,-1.3819095E-03,+63.1909541E-03,+0.0E+00
-981.7500E-06,-2.1356784E-03,+62.4371853E-03,+0.0E+00
-981.6250E-06,-1.8844221E-03,+63.6934667E-03,+0.0E+00
-981.5000E-06,-1.5075377E-03,+63.9447229E-03,+0.0E+00
-981.3750E-06,-1.2562814E-03,+64.6984918E-03,+0.0E+00
-981.2500E-06,-753.7688E-06,+64.3216074E-03,+0.0E+00
-981.1250E-06,-1.6331658E-03,+63.3165822E-03,+0.0E+00
-981.0000E-06,-1.7587940E-03,+62.6884415E-03,+0.0E+00
-980.8750E-06,-1.2562814E-03,+63.0653260E-03,+0.0E+00
-980.7500E-06,-1.0050251E-03,+64.1959792E-03,+0.0E+00
-980.6250E-06,-879.3970E-06,+64.8241199E-03,+0.0E+00
-980.5000E-06,-0.0E+00,+64.4472355E-03,+0.0E+00
-980.3750E-06,-753.7688E-06,+63.1909541E-03,+0.0E+00
-980.2500E-06,-1.1306533E-03,+62.4371853E-03,+0.0E+00
-980.1250E-06,-125.6281E-06,+63.4422104E-03,+0.0E+00
-980.0000E-06,+251.2563E-06,+63.0653260E-03,+0.0E+00
-979.8750E-06,+0.0E+00,+63.8190948E-03,+0.0E+00
-979.7500E-06,-376.8844E-06,+64.4472355E-03,+0.0E+00
-979.6250E-06,-376.8844E-06,+63.5678385E-03,+0.0E+00
-979.5000E-06,+125.6281E-06,+63.0653260E-03,+0.0E+00
-979.3750E-06,+125.6281E-06,+63.3165822E-03,+0.0E+00
-979.2500E-06,-376.8844E-06,+64.3216074E-03,+0.0E+00
-979.1250E-06,+125.6281E-06,+64.5728636E-03,+0.0E+00
-979.0000E-06,+879.3970E-06,+64.4472355E-03,+0.0E+00
-978.8750E-06,+1.3819095E-03,+64.0703511E-03,+0.0E+00
-978.7500E-06,+376.8844E-06,+63.8190948E-03,+0.0E+00
-978.6250E-06,+251.2563E-06,+64.0703511E-03,+0.0E+00
-978.5000E-06,+1.0050251E-03,+63.9447229E-03,+0.0E+00
-978.3750E-06,+1.0050251E-03,+63.8190948E-03,+0.0E+00
-978.2500E-06,+2.1356784E-03,+64.0703511E-03,+0.0E+00
-978.1250E-06,+1.0050251E-03,+63.8190948E-03,+0.0E+00
-978.0000E-06,+1.1306533E-03,+63.3165822E-03,+0.0E+00
-977.8750E-06,+753.7688E-06,+62.6884415E-03,+0.0E+00
-977.7500E-06,+251.2563E-06,+62.4371853E-03,+0.0E+00
-977.6250E-06,+1.3819095E-03,+63.5678385E-03,+0.0E+00
-977.5000E-06,+1.3819095E-03,+63.8190948E-03,+0.0E+00
-977.3750E-06,+1.3819095E-03,+64.4472355E-03,+0.0E+00
-977.2500E-06,+628.1407E-06,+62.9396978E-03,+0.0E+00
-977.1250E-06,+2.0100502E-03,+63.0653260E-03,+0.0E+00
-977.0000E-06,+2.0100502E-03,+63.5678385E-03,+0.0E+00
-976.8750E-06,+1.8844221E-03,+64.4472355E-03,+0.0E+00
-976.7500E-06,+2.5125628E-03,+65.0753762E-03,+0.0E+00
-976.6250E-06,+2.0100502E-03,+64.3216074E-03,+0.0E+00
-976.5000E-06,+1.6331658E-03,+62.9396978E-03,+0.0E+00
-976.3750E-06,+1.5075377E-03,+62.4371853E-03,+0.0E+00
-976.2500E-06,+2.1356784E-03,+63.0653260E-03,+0.0E+00
-976.1250E-06,+2.2613065E-03,+64.5728636E-03,+0.0E+00
-976.0000E-06,+3.0150753E-03,+64.9497480E-03,+0.0E+00
-975.8750E-06,+2.8894472E-03,+64.5728636E-03,+0.0E+00
-975.7500E-06,+1.8844221E-03,+63.8190948E-03,+0.0E+00
-975.6250E-06,+2.0100502E-03,+62.5628134E-03,+0.0E+00
-975.5000E-06,+2.3869346E-03,+62.3115571E-03,+0.0E+00
-975.3750E-06,+2.8894472E-03,+63.3165822E-03,+0.0E+00
-975.2500E-06,+2.8894472E-03,+65.2010043E-03,+0.0E+00
-975.1250E-06,+3.2663316E-03,+64.4472355E-03,+0.0E+00
-975.0000E-06,+2.7638191E-03,+62.6884415E-03,+0.0E+00
-974.8750E-06,+1.7587940E-03,+62.8140697E-03,+0.0E+00
-974.7500E-06,+2.1356784E-03,+63.1909541E-03,+0.0E+00
-974.6250E-06,+3.5175879E-03,+63.3165822E-03,+0.0E+00
-974.5000E-06,+3.6432160E-03,+65.2010043E-03,+0.0E+00
-974.3750E-06,+3.7688442E-03,+64.4472355E-03,+0.0E+00
-974.2500E-06,+3.2663316E-03,+63.5678385E-03,+0.0E+00
-974.1250E-06,+3.2663316E-03,+63.0653260E-03,+0.0E+00
-974.0000E-06,+3.6432160E-03,+62.5628134E-03,+0.0E+00
-973.8750E-06,+4.2713567E-03,+63.9447229E-03,+0.0E+00
