x-axis,1,2
second,Volt,Volt
-250.00000E-06,-38.09045185E-03,+34.57286395E-03
-249.96875E-06,-38.29145688E-03,+34.77386897E-03
-249.93750E-06,-38.29145688E-03,+34.77386897E-03
-249.90625E-06,-38.39195939E-03,+34.87437149E-03
-249.87500E-06,-38.19095436E-03,+34.27135642E-03
-249.84375E-06,-37.88944683E-03,+34.57286395E-03
-249.81250E-06,-37.88944683E-03,+34.57286395E-03
-249.78125E-06,-38.29145688E-03,+34.37185893E-03
-249.75000E-06,-37.88944683E-03,+34.37185893E-03
-249.71875E-06,-37.68844181E-03,+33.46733632E-03
-249.68750E-06,-37.88944683E-03,+34.27135642E-03
-249.65625E-06,-37.38693427E-03,+33.96984888E-03
-249.62500E-06,-37.68844181E-03,+33.96984888E-03
-249.59375E-06,-37.58793930E-03,+34.17085391E-03
-249.56250E-06,-37.28643176E-03,+33.66834135E-03
-249.53125E-06,-37.68844181E-03,+33.66834135E-03
-249.50000E-06,-36.98492423E-03,+33.56783884E-03
-249.46875E-06,-37.18592925E-03,+34.27135642E-03
-249.43750E-06,-37.48743678E-03,+34.37185893E-03
-249.40625E-06,-36.98492423E-03,+33.66834135E-03
-249.37500E-06,-37.28643176E-03,+33.66834135E-03
-249.34375E-06,-36.88442172E-03,+33.16582879E-03
-249.31250E-06,-36.88442172E-03,+33.36683381E-03
-249.28125E-06,-36.88442172E-03,+33.46733632E-03
-249.25000E-06,-36.78391920E-03,+33.46733632E-03
-249.21875E-06,-36.68341669E-03,+33.16582879E-03
-249.18750E-06,-36.78391920E-03,+32.86432126E-03
-249.15625E-06,-36.78391920E-03,+33.06532628E-03
-249.12500E-06,-36.58291418E-03,+33.26633130E-03
-249.09375E-06,-36.68341669E-03,+32.86432126E-03
-249.06250E-06,-35.97989911E-03,+32.76381874E-03
-249.03125E-06,-36.28140665E-03,+33.26633130E-03
-249.00000E-06,-35.97989911E-03,+32.66331623E-03
-248.96875E-06,-35.97989911E-03,+32.66331623E-03
-248.93750E-06,-35.97989911E-03,+32.56281372E-03
-248.90625E-06,-36.38190916E-03,+32.86432126E-03
-248.87500E-06,-36.08040162E-03,+32.06030116E-03
-248.84375E-06,-36.18090414E-03,+32.26130619E-03
-248.81250E-06,-35.87939660E-03,+32.06030116E-03
-248.78125E-06,-35.47738655E-03,+31.85929614E-03
-248.75000E-06,-36.18090414E-03,+32.36180870E-03
-248.71875E-06,-35.47738655E-03,+31.75879363E-03
-248.68750E-06,-35.87939660E-03,+32.26130619E-03
-248.65625E-06,-35.67839158E-03,+32.26130619E-03
