f	Uin	Uout
1	51.457e-3	248.24e-3
2	51.859e-3	710.55e-3
4	51.558e-3	1.9799
8	51.859e-3	3.5879
16	51.156e-3	4.4526
32	51.457e-3	4.8291
64	51.960e-3	4.8844
100	51.558e-3	4.9422
1e3	049.6e-3	4.905
1.5e3	050.5e-3	4.872
2e3	51.10e-3	4.821
3e3	050.5e-3	4.681
4e3	050.9e-3	4.560
5e3	050.9e-3	4.384
6e3	051.3e-3	4.196
7e3	051.0e-3	4.000
8e3	051.4e-3	3.812
10e3	051.0e-3	3.427
20e3	051.3e-3	2.126
40e3	051.6e-3	1.141
80e3	052.0e-3	570.9e-3
