Frequenz	U_in	U_out	Phi
1	201.38e-3	202.14e-3	-0.021	
10	209.17e-3	203.02e-3	-2.522
100	209.05e-3	203.02e-3	-2.288
1e3	209.80e-3	205.03e-3	-0.541
10e3	212.19e-3	208.54e-3	-0.047
100e3	213.07e-3	222.19e-3	-1.554
300e3	219.10e-3	205.03e-3	-20.82
600e3	212.06e-3	186.31e-3	-46.22
800e3	213.07e-3	168.84e-3	-63.14
825e3	202.6e-3	152.0e-3	-61.652
1e6	206.0e-3	130.4e-3	-73.03
2e6	205.5e-3	065.6e-3	-117.89
4e6	207.5e-3	027.3e-3	-170.33
