f	U_in	U_a	Phase
100	100.7e-3	109.4e-3	97.43
200	100.5e-3	212.3e-3	102.63
400	099.6e-3	391.0e-3	113.28
800	098.9e-3	631.2e-3	130.78
1e3	098.3e-3	706.5e-3	137.47
2e3	097.8e-3	00865e-3	156.33
4e3	099.0e-3	00923e-3	169.31
8e3	099.1e-3	00939e-3	178.75
10e3	098.7e-3	00940e-3	180.00
20e3	098.5e-3	00928e-3	171.73
40e3	098.6e-3	00883e-3	156.57
50e3	099.7e-3	00844e-3	150.74
80e3	100.9e-3	739.00e-3	135.1

