Freq.,Vuout/Vuin(dB,phase)
1.00000000000000e+000,1.99170815143951e+001,4.30539807292652e+000
1.00230523807790e+000,1.99169685819780e+001,4.31528561505025e+000
1.00461579027840e+000,1.99168551312456e+001,4.32519569207072e+000
1.00693166885180e+000,1.99167411598325e+001,4.33512835415976e+000
1.00925288607668e+000,1.99166266653628e+001,4.34508365159273e+000
1.01157945425990e+000,1.99165116454500e+001,4.35506163474861e+000
1.01391138573668e+000,1.99163960976966e+001,4.36506235411022e+000
1.01624869287070e+000,1.99162800196946e+001,4.37508586026434e+000
1.01859138805412e+000,1.99161634090248e+001,4.38513220390186e+000
1.02093948370768e+000,1.99160462632573e+001,4.39520143581796e+000
1.02329299228075e+000,1.99159285799511e+001,4.40529360691227e+000
1.02565192625141e+000,1.99158103566545e+001,4.41540876818899e+000
1.02801629812647e+000,1.99156915909045e+001,4.42554697075706e+000
1.03038612044162e+000,1.99155722802269e+001,4.43570826583033e+000
1.03276140576140e+000,1.99154524221366e+001,4.44589270472769e+000
1.03514216667934e+000,1.99153320141373e+001,4.45610033887326e+000
1.03752841581801e+000,1.99152110537213e+001,4.46633121979650e+000
1.03992016582906e+000,1.99150895383696e+001,4.47658539913238e+000
1.04231742939330e+000,1.99149674655520e+001,4.48686292862155e+000
1.04472021922080e+000,1.99148448327268e+001,4.49716386011048e+000
1.04712854805090e+000,1.99147216373410e+001,4.50748824555160e+000
1.04954242865232e+000,1.99145978768299e+001,4.51783613700349e+000
1.05196187382322e+000,1.99144735486174e+001,4.52820758663098e+000
1.05438689639126e+000,1.99143486501157e+001,4.53860264670535e+000
1.05681750921366e+000,1.99142231787255e+001,4.54902136960444e+000
1.05925372517729e+000,1.99140971318357e+001,4.55946380781285e+000
1.06169555719872e+000,1.99139705068234e+001,4.56993001392204e+000
1.06414301822431e+000,1.99138433010541e+001,4.58042004063053e+000
1.06659612123026e+000,1.99137155118812e+001,4.59093394074400e+000
1.06905487922266e+000,1.99135871366464e+001,4.60147176717547e+000
1.07151930523760e+000,1.99134581726793e+001,4.61203357294548e+000
1.07398941234124e+000,1.99133286172977e+001,4.62261941118215e+000
1.07646521362983e+000,1.99131984678070e+001,4.63322933512144e+000
1.07894672222983e+000,1.99130677215009e+001,4.64386339810721e+000
1.08143395129794e+000,1.99129363756605e+001,4.65452165359141e+000
1.08392691402120e+000,1.99128044275551e+001,4.66520415513424e+000
1.08642562361706e+000,1.99126718744415e+001,4.67591095640424e+000
1.08893009333343e+000,1.99125387135642e+001,4.68664211117852e+000
1.09144033644875e+000,1.99124049421552e+001,4.69739767334283e+000
1.09395636627209e+000,1.99122705574343e+001,4.70817769689179e+000
1.09647819614318e+000,1.99121355566088e+001,4.71898223592893e+000
1.09900583943252e+000,1.99119999368732e+001,4.72981134466695e+000
1.10153930954141e+000,1.99118636954097e+001,4.74066507742777e+000
1.10407861990207e+000,1.99117268293877e+001,4.75154348864273e+000
1.10662378397766e+000,1.99115893359639e+001,4.76244663285274e+000
1.10917481526240e+000,1.99114512122822e+001,4.77337456470839e+000
1.11173172728159e+000,1.99113124554738e+001,4.78432733897011e+000
1.11429453359173e+000,1.99111730626569e+001,4.79530501050834e+000
1.11686324778056e+000,1.99110330309369e+001,4.80630763430362e+000
1.11943788346715e+000,1.99108923574062e+001,4.81733526544678e+000
1.12201845430196e+000,1.99107510391439e+001,4.82838795913906e+000
1.12460497396692e+000,1.99106090732164e+001,4.83946577069228e+000
1.12719745617551e+000,1.99104664566767e+001,4.85056875552894e+000
1.12979591467279e+000,1.99103231865646e+001,4.86169696918238e+000
1.13240036323555e+000,1.99101792599067e+001,4.87285046729695e+000
1.13501081567231e+000,1.99100346737162e+001,4.88402930562810e+000
1.13762728582343e+000,1.99098894249930e+001,4.89523354004255e+000
1.14024978756117e+000,1.99097435107234e+001,4.90646322651844e+000
1.14287833478977e+000,1.99095969278805e+001,4.91771842114546e+000
1.14551294144553e+000,1.99094496734235e+001,4.92899918012496e+000
1.14815362149688e+000,1.99093017442981e+001,4.94030555977014e+000
1.15080038894443e+000,1.99091531374365e+001,4.95163761650614e+000
1.15345325782109e+000,1.99090038497568e+001,4.96299540687021e+000
1.15611224219209e+000,1.99088538781637e+001,4.97437898751184e+000
1.15877735615512e+000,1.99087032195477e+001,4.98578841519289e+000
1.16144861384034e+000,1.99085518707856e+001,4.99722374678775e+000
1.16412602941049e+000,1.99083998287402e+001,5.00868503928341e+000
1.16680961706096e+000,1.99082470902602e+001,5.02017234977968e+000
1.16949939101987e+000,1.99080936521801e+001,5.03168573548928e+000
1.17219536554813e+000,1.99079395113204e+001,5.04322525373797e+000
1.17489755493953e+000,1.99077846644874e+001,5.05479096196470e+000
1.17760597352080e+000,1.99076291084730e+001,5.06638291772174e+000
1.18032063565173e+000,1.99074728400549e+001,5.07800117867481e+000
1.18304155572516e+000,1.99073158559961e+001,5.08964580260321e+000
1.18576874816716e+000,1.99071581530455e+001,5.10131684739995e+000
1.18850222743701e+000,1.99069997279372e+001,5.11301437107190e+000
1.19124200802737e+000,1.99068405773909e+001,5.12473843173988e+000
1.19398810446427e+000,1.99066806981114e+001,5.13648908763884e+000
1.19674053130724e+000,1.99065200867891e+001,5.14826639711796e+000
1.19949930314937e+000,1.99063587400992e+001,5.16007041864077e+000
1.20226443461741e+000,1.99061966547025e+001,5.17190121078530e+000
1.20503594037179e+000,1.99060338272446e+001,5.18375883224421e+000
1.20781383510677e+000,1.99058702543562e+001,5.19564334182489e+000
1.21059813355048e+000,1.99057059326529e+001,5.20755479844961e+000
