  Frequency             P(V(N00173)/ V(V3:+)) V(U1:-)               V(U1:+)              
  1.339676687426e+000  -7.690427557856e-005  9.999632541824e-001  1.000000000000e+000  
  1.342764961138e+000  -7.708155824298e-005  9.999632541824e-001  1.000000000000e+000  
  1.345860354056e+000  -7.725924958614e-005  9.999632541824e-001  1.000000000000e+000  
  1.348962882592e+000  -7.743735055016e-005  9.999632541824e-001  1.000000000000e+000  
  1.352072563194e+000  -7.761586207930e-005  9.999632541824e-001  1.000000000000e+000  
  1.355189412351e+000  -7.779478512002e-005  9.999632541824e-001  1.000000000000e+000  
  1.358313446587e+000  -7.797412062094e-005  9.999632541824e-001  1.000000000000e+000  
  1.361444682466e+000  -7.815386953288e-005  9.999632541824e-001  1.000000000000e+000  
  1.364583136589e+000  -7.833403280887e-005  9.999632541825e-001  1.000000000000e+000  
  1.367728825596e+000  -7.851461140409e-005  9.999632541825e-001  1.000000000000e+000  
  1.370881766165e+000  -7.869560627597e-005  9.999632541825e-001  1.000000000000e+000  
  1.374041975013e+000  -7.887701838412e-005  9.999632541825e-001  1.000000000000e+000  
  1.377209468894e+000  -7.905884869037e-005  9.999632541825e-001  1.000000000000e+000  
  1.380384264603e+000  -7.924109815877e-005  9.999632541825e-001  1.000000000000e+000  
  1.383566378972e+000  -7.942376775558e-005  9.999632541825e-001  1.000000000000e+000  
  1.386755828872e+000  -7.960685844930e-005  9.999632541825e-001  1.000000000000e+000  
  1.389952631213e+000  -7.979037121066e-005  9.999632541825e-001  1.000000000000e+000  
  1.393156802945e+000  -7.997430701263e-005  9.999632541825e-001  1.000000000000e+000  
  1.396368361056e+000  -8.015866683040e-005  9.999632541825e-001  1.000000000000e+000  
  1.399587322573e+000  -8.034345164146e-005  9.999632541825e-001  1.000000000000e+000  
  1.402813704562e+000  -8.052866242549e-005  9.999632541825e-001  1.000000000000e+000  
  1.406047524130e+000  -8.071430016448e-005  9.999632541825e-001  1.000000000000e+000  
  1.409288798422e+000  -8.090036584265e-005  9.999632541825e-001  1.000000000000e+000  
  1.412537544623e+000  -8.108686044650e-005  9.999632541825e-001  1.000000000000e+000  
  1.415793779957e+000  -8.127378496482e-005  9.999632541825e-001  1.000000000000e+000  
  1.419057521689e+000  -8.146114038866e-005  9.999632541825e-001  1.000000000000e+000  
  1.422328787123e+000  -8.164892771135e-005  9.999632541825e-001  1.000000000000e+000  
  1.425607593602e+000  -8.183714792853e-005  9.999632541825e-001  1.000000000000e+000  
  1.428893958511e+000  -8.202580203812e-005  9.999632541825e-001  1.000000000000e+000  
  1.432187899274e+000  -8.221489104035e-005  9.999632541825e-001  1.000000000000e+000  
  1.435489433354e+000  -8.240441593775e-005  9.999632541825e-001  1.000000000000e+000  
  1.438798578256e+000  -8.259437773515e-005  9.999632541825e-001  1.000000000000e+000  
  1.442115351525e+000  -8.278477743973e-005  9.999632541825e-001  1.000000000000e+000  
  1.445439770746e+000  -8.297561606096e-005  9.999632541825e-001  1.000000000000e+000  
  1.448771853545e+000  -8.316689461064e-005  9.999632541825e-001  1.000000000000e+000  
  1.452111617588e+000  -8.335861410291e-005  9.999632541825e-001  1.000000000000e+000  
  1.455459080582e+000  -8.355077555427e-005  9.999632541825e-001  1.000000000000e+000  
  1.458814260275e+000  -8.374337998351e-005  9.999632541825e-001  1.000000000000e+000  
  1.462177174457e+000  -8.393642841182e-005  9.999632541825e-001  1.000000000000e+000  
  1.465547840956e+000  -8.412992186272e-005  9.999632541825e-001  1.000000000000e+000  
  1.468926277644e+000  -8.432386136209e-005  9.999632541825e-001  1.000000000000e+000  
  1.472312502433e+000  -8.451824793818e-005  9.999632541825e-001  1.000000000000e+000  
  1.475706533276e+000  -8.471308262160e-005  9.999632541825e-001  1.000000000000e+000  
  1.479108388168e+000  -8.490836644536e-005  9.999632541825e-001  1.000000000000e+000  
  1.482518085146e+000  -8.510410044482e-005  9.999632541825e-001  1.000000000000e+000  
  1.485935642287e+000  -8.530028565775e-005  9.999632541825e-001  1.000000000000e+000  
  1.489361077711e+000  -8.549692312430e-005  9.999632541825e-001  1.000000000000e+000  
  1.492794409579e+000  -8.569401388703e-005  9.999632541825e-001  1.000000000000e+000  
  1.496235656094e+000  -8.589155899089e-005  9.999632541825e-001  1.000000000000e+000  
  1.499684835502e+000  -8.608955948325e-005  9.999632541825e-001  1.000000000000e+000  
  1.503141966090e+000  -8.628801641388e-005  9.999632541825e-001  1.000000000000e+000  
  1.506607066187e+000  -8.648693083498e-005  9.999632541825e-001  1.000000000000e+000  
  1.510080154164e+000  -8.668630380119e-005  9.999632541825e-001  1.000000000000e+000  
  1.513561248436e+000  -8.688613636954e-005  9.999632541825e-001  1.000000000000e+000  
  1.517050367459e+000  -8.708642959954e-005  9.999632541825e-001  1.000000000000e+000  
  1.520547529732e+000  -8.728718455312e-005  9.999632541825e-001  1.000000000000e+000  
  1.524052753797e+000  -8.748840229467e-005  9.999632541825e-001  1.000000000000e+000  
  1.527566058238e+000  -8.769008389101e-005  9.999632541825e-001  1.000000000000e+000  
  1.531087461682e+000  -8.789223041145e-005  9.999632541825e-001  1.000000000000e+000  
  1.534616982799e+000  -8.809484292775e-005  9.999632541825e-001  1.000000000000e+000  
  1.538154640303e+000  -8.829792251413e-005  9.999632541825e-001  1.000000000000e+000  
  1.541700452950e+000  -8.850147024731e-005  9.999632541825e-001  1.000000000000e+000  
  1.545254439538e+000  -8.870548720648e-005  9.999632541825e-001  1.000000000000e+000  
  1.548816618912e+000  -8.890997447330e-005  9.999632541825e-001  1.000000000000e+000  
  1.552387009958e+000  -8.911493313196e-005  9.999632541825e-001  1.000000000000e+000  
  1.555965631605e+000  -8.932036426913e-005  9.999632541825e-001  1.000000000000e+000  
  1.559552502827e+000  -8.952626897398e-005  9.999632541825e-001  1.000000000000e+000  
  1.563147642641e+000  -8.973264833819e-005  9.999632541825e-001  1.000000000000e+000  
  1.566751070108e+000  -8.993950345597e-005  9.999632541825e-001  1.000000000000e+000  
  1.570362804334e+000  -9.014683542404e-005  9.999632541825e-001  1.000000000000e+000  
  1.573982864466e+000  -9.035464534166e-005  9.999632541825e-001  1.000000000000e+000  
  1.577611269699e+000  -9.056293431062e-005  9.999632541825e-001  1.000000000000e+000  
  1.581248039270e+000  -9.077170343524e-005  9.999632541825e-001  1.000000000000e+000  
  1.584893192461e+000  -9.098095382240e-005  9.999632541825e-001  1.000000000000e+000  
  1.588546748598e+000  -9.119068658151e-005  9.999632541825e-001  1.000000000000e+000  
  1.592208727051e+000  -9.140090282457e-005  9.999632541825e-001  1.000000000000e+000  
  1.595879147237e+000  -9.161160366611e-005  9.999632541825e-001  1.000000000000e+000  
  1.599558028615e+000  -9.182279022326e-005  9.999632541825e-001  1.000000000000e+000  
  1.603245390690e+000  -9.203446361570e-005  9.999632541825e-001  1.000000000000e+000  
  1.606941253013e+000  -9.224662496571e-005  9.999632541825e-001  1.000000000000e+000  
  1.610645635178e+000  -9.245927539814e-005  9.999632541825e-001  1.000000000000e+000  
  1.614358556826e+000  -9.267241604044e-005  9.999632541825e-001  1.000000000000e+000  
  1.618080037643e+000  -9.288604802267e-005  9.999632541825e-001  1.000000000000e+000  
  1.621810097359e+000  -9.310017247748e-005  9.999632541825e-001  1.000000000000e+000  
  1.625548755750e+000  -9.331479054013e-005  9.999632541825e-001  1.000000000000e+000  
  1.629296032640e+000  -9.352990334852e-005  9.999632541825e-001  1.000000000000e+000  
  1.633051947894e+000  -9.374551204314e-005  9.999632541825e-001  1.000000000000e+000  
  1.636816521428e+000  -9.396161776713e-005  9.999632541825e-001  1.000000000000e+000  
  1.640589773200e+000  -9.417822166627e-005  9.999632541825e-001  1.000000000000e+000  
  1.644371723215e+000  -9.439532488897e-005  9.999632541825e-001  1.000000000000e+000  
  1.648162391525e+000  -9.461292858628e-005  9.999632541825e-001  1.000000000000e+000  
  1.651961798229e+000  -9.483103391192e-005  9.999632541825e-001  1.000000000000e+000  
  1.655769963470e+000  -9.504964202226e-005  9.999632541825e-001  1.000000000000e+000  
  1.659586907438e+000  -9.526875407634e-005  9.999632541825e-001  1.000000000000e+000  
  1.663412650370e+000  -9.548837123587e-005  9.999632541825e-001  1.000000000000e+000  
  1.667247212551e+000  -9.570849466524e-005  9.999632541825e-001  1.000000000000e+000  
  1.671090614311e+000  -9.592912553152e-005  9.999632541825e-001  1.000000000000e+000  
  1.674942876026e+000  -9.615026500447e-005  9.999632541825e-001  1.000000000000e+000  
  1.678804018123e+000  -9.637191425656e-005  9.999632541825e-001  1.000000000000e+000  
  1.682674061070e+000  -9.659407446295e-005  9.999632541825e-001  1.000000000000e+000  
  1.686553025389e+000  -9.681674680150e-005  9.999632541825e-001  1.000000000000e+000  
  1.690440931643e+000  -9.703993245280e-005  9.999632541825e-001  1.000000000000e+000  
  1.694337800447e+000  -9.726363260017e-005  9.999632541825e-001  1.000000000000e+000  
  1.698243652462e+000  -9.748784842964e-005  9.999632541825e-001  1.000000000000e+000  
  1.702158508395e+000  -9.771258112997e-005  9.999632541825e-001  1.000000000000e+000  
  1.706082389003e+000  -9.793783189268e-005  9.999632541825e-001  1.000000000000e+000  
  1.710015315090e+000  -9.816360191203e-005  9.999632541825e-001  1.000000000000e+000  
  1.713957307508e+000  -9.838989238502e-005  9.999632541825e-001  1.000000000000e+000  
  1.717908387158e+000  -9.861670451143e-005  9.999632541825e-001  1.000000000000e+000  
  1.721868574986e+000  -9.884403949378e-005  9.999632541825e-001  1.000000000000e+000  
  1.725837891990e+000  -9.907189853740e-005  9.999632541825e-001  1.000000000000e+000  
  1.729816359215e+000  -9.930028285036e-005  9.999632541825e-001  1.000000000000e+000  
  1.733803997754e+000  -9.952919364353e-005  9.999632541825e-001  1.000000000000e+000  
  1.737800828749e+000  -9.975863213058e-005  9.999632541825e-001  1.000000000000e+000  
  1.741806873392e+000  -9.998859952797e-005  9.999632541825e-001  1.000000000000e+000  
  1.745822152920e+000  -1.002190970550e-004  9.999632541825e-001  1.000000000000e+000  
  1.749846688625e+000  -1.004501259336e-004  9.999632541825e-001  1.000000000000e+000  
  1.753880501842e+000  -1.006816873889e-004  9.999632541825e-001  1.000000000000e+000  
  1.757923613959e+000  -1.009137826484e-004  9.999632541825e-001  1.000000000000e+000  
  1.761976046412e+000  -1.011464129427e-004  9.999632541825e-001  1.000000000000e+000  
  1.766037820686e+000  -1.013795795053e-004  9.999632541825e-001  1.000000000000e+000  
  1.770108958317e+000  -1.016132835723e-004  9.999632541826e-001  1.000000000000e+000  
  1.774189480890e+000  -1.018475263828e-004  9.999632541826e-001  1.000000000000e+000  
  1.778279410039e+000  -1.020823091787e-004  9.999632541826e-001  1.000000000000e+000  
  1.782378767448e+000  -1.023176332049e-004  9.999632541826e-001  1.000000000000e+000  
  1.786487574852e+000  -1.025534997090e-004  9.999632541826e-001  1.000000000000e+000  
  1.790605854035e+000  -1.027899099416e-004  9.999632541826e-001  1.000000000000e+000  
  1.794733626833e+000  -1.030268651560e-004  9.999632541826e-001  1.000000000000e+000  
  1.798870915129e+000  -1.032643666086e-004  9.999632541826e-001  1.000000000000e+000  
  1.803017740860e+000  -1.035024155586e-004  9.999632541826e-001  1.000000000000e+000  
  1.807174126011e+000  -1.037410132681e-004  9.999632541826e-001  1.000000000000e+000  
  1.811340092620e+000  -1.039801610021e-004  9.999632541826e-001  1.000000000000e+000  
  1.815515662773e+000  -1.042198600286e-004  9.999632541826e-001  1.000000000000e+000  
  1.819700858610e+000  -1.044601116184e-004  9.999632541826e-001  1.000000000000e+000  
  1.823895702320e+000  -1.047009170454e-004  9.999632541826e-001  1.000000000000e+000  
  1.828100216143e+000  -1.049422775861e-004  9.999632541826e-001  1.000000000000e+000  
  1.832314422371e+000  -1.051841945204e-004  9.999632541826e-001  1.000000000000e+000  
  1.836538343348e+000  -1.054266691308e-004  9.999632541826e-001  1.000000000000e+000  
  1.840772001469e+000  -1.056697027029e-004  9.999632541826e-001  1.000000000000e+000  
  1.845015419179e+000  -1.059132965253e-004  9.999632541826e-001  1.000000000000e+000  
  1.849268618978e+000  -1.061574518894e-004  9.999632541826e-001  1.000000000000e+000  
  1.853531623415e+000  -1.064021700897e-004  9.999632541826e-001  1.000000000000e+000  
  1.857804455092e+000  -1.066474524238e-004  9.999632541826e-001  1.000000000000e+000  
  1.862087136663e+000  -1.068933001920e-004  9.999632541826e-001  1.000000000000e+000  
  1.866379690835e+000  -1.071397146979e-004  9.999632541826e-001  1.000000000000e+000  
  1.870682140366e+000  -1.073866972479e-004  9.999632541826e-001  1.000000000000e+000  
  1.874994508067e+000  -1.076342491514e-004  9.999632541826e-001  1.000000000000e+000  
  1.879316816803e+000  -1.078823717211e-004  9.999632541826e-001  1.000000000000e+000  
  1.883649089490e+000  -1.081310662723e-004  9.999632541826e-001  1.000000000000e+000  
  1.887991349096e+000  -1.083803341237e-004  9.999632541826e-001  1.000000000000e+000  
  1.892343618645e+000  -1.086301765968e-004  9.999632541826e-001  1.000000000000e+000  
  1.896705921211e+000  -1.088805950163e-004  9.999632541826e-001  1.000000000000e+000  
  1.901078279923e+000  -1.091315907099e-004  9.999632541826e-001  1.000000000000e+000  
  1.905460717963e+000  -1.093831650083e-004  9.999632541826e-001  1.000000000000e+000  
  1.909853258566e+000  -1.096353192453e-004  9.999632541826e-001  1.000000000000e+000  
  1.914255925021e+000  -1.098880547579e-004  9.999632541826e-001  1.000000000000e+000  
  1.918668740670e+000  -1.101413728861e-004  9.999632541826e-001  1.000000000000e+000  
  1.923091728910e+000  -1.103952749728e-004  9.999632541826e-001  1.000000000000e+000  
  1.927524913191e+000  -1.106497623643e-004  9.999632541826e-001  1.000000000000e+000  
  1.931968317017e+000  -1.109048364098e-004  9.999632541826e-001  1.000000000000e+000  
  1.936421963947e+000  -1.111604984617e-004  9.999632541826e-001  1.000000000000e+000  
  1.940885877593e+000  -1.114167498755e-004  9.999632541826e-001  1.000000000000e+000  
  1.945360081623e+000  -1.116735920099e-004  9.999632541826e-001  1.000000000000e+000  
  1.949844599758e+000  -1.119310262265e-004  9.999632541826e-001  1.000000000000e+000  
  1.954339455775e+000  -1.121890538902e-004  9.999632541826e-001  1.000000000000e+000  
  1.958844673506e+000  -1.124476763692e-004  9.999632541826e-001  1.000000000000e+000  
  1.963360276836e+000  -1.127068950345e-004  9.999632541826e-001  1.000000000000e+000  
  1.967886289707e+000  -1.129667112606e-004  9.999632541826e-001  1.000000000000e+000  
  1.972422736115e+000  -1.132271264249e-004  9.999632541826e-001  1.000000000000e+000  
  1.976969640112e+000  -1.134881419082e-004  9.999632541826e-001  1.000000000000e+000  
  1.981527025805e+000  -1.137497590943e-004  9.999632541826e-001  1.000000000000e+000  
  1.986094917357e+000  -1.140119793703e-004  9.999632541826e-001  1.000000000000e+000  
  1.990673338987e+000  -1.142748041265e-004  9.999632541826e-001  1.000000000000e+000  
  1.995262314969e+000  -1.145382347563e-004  9.999632541826e-001  1.000000000000e+000  
  1.999861869633e+000  -1.148022726565e-004  9.999632541826e-001  1.000000000000e+000  
  2.004472027365e+000  -1.150669192268e-004  9.999632541826e-001  1.000000000000e+000  
  2.009092812609e+000  -1.153321758705e-004  9.999632541826e-001  1.000000000000e+000  
  2.013724249862e+000  -1.155980439940e-004  9.999632541826e-001  1.000000000000e+000  
  2.018366363682e+000  -1.158645250067e-004  9.999632541826e-001  1.000000000000e+000  
  2.023019178678e+000  -1.161316203216e-004  9.999632541826e-001  1.000000000000e+000  
  2.027682719521e+000  -1.163993313548e-004  9.999632541826e-001  1.000000000000e+000  
  2.032357010936e+000  -1.166676595257e-004  9.999632541826e-001  1.000000000000e+000  
  2.037042077706e+000  -1.169366062569e-004  9.999632541826e-001  1.000000000000e+000  
  2.041737944669e+000  -1.172061729744e-004  9.999632541826e-001  1.000000000000e+000  
  2.046444636725e+000  -1.174763611073e-004  9.999632541826e-001  1.000000000000e+000  
  2.051162178826e+000  -1.177471720881e-004  9.999632541826e-001  1.000000000000e+000  
  2.055890595984e+000  -1.180186073528e-004  9.999632541826e-001  1.000000000000e+000  
  2.060629913270e+000  -1.182906683404e-004  9.999632541826e-001  1.000000000000e+000  
  2.065380155810e+000  -1.185633564933e-004  9.999632541826e-001  1.000000000000e+000  
  2.070141348791e+000  -1.188366732573e-004  9.999632541826e-001  1.000000000000e+000  
  2.074913517455e+000  -1.191106200816e-004  9.999632541826e-001  1.000000000000e+000  
  2.079696687104e+000  -1.193851984185e-004  9.999632541826e-001  1.000000000000e+000  
  2.084490883097e+000  -1.196604097238e-004  9.999632541826e-001  1.000000000000e+000  
  2.089296130854e+000  -1.199362554567e-004  9.999632541826e-001  1.000000000000e+000  
  2.094112455851e+000  -1.202127370797e-004  9.999632541826e-001  1.000000000000e+000  
